id,review,finding,verdict,evidence,impact,verdict_class
R2-1,2,Per-item details repos exist; availability claim false,CONFIRMED,"HTTP 200 for open-llm-leaderboard/gpt2-details, meta-llama__Llama-2-7b-hf-details, AND details_gpt2 (my own registered path); 57 hendrycksTest per-subject parquet files in details_EleutherAI__pythia-1b-deduped; astronomy file has 152 rows with acc/gold/predictions columns",FATAL to target substitution,CONFIRMED
R2-2,2,One-sided BH cannot see anti-predicted subjects,CONFIRMED,"two-sided BH = 17 subjects / 4,613 items vs one-sided 19 / 5,007; public_relations meta_acc=13.64% (n=110) appears only two-sided",Headline undisclosed as one-sided,CONFIRMED
R2-3,2,P1/P2 are one statistic entering BH as two tests,CONFIRMED,"results file note_equals_P1: LOSO selected index 3 for all 57 subjects; identical acc 0.26891, identical CI, identical clustered p",Inflates family size,CONFIRMED
R2-4,2,Headline chi2 p violates declared resampling unit,CONFIRMED,BH family used chi2 p=5.9e-10 (item-level); declared unit is subject; clustered p=0.0405,Positional finding loses BH,CONFIRMED
R2-5,2,Duplicate counts do not reconcile,CONFIRMED,"stem+choices = 105 groups / 210 rows, not '102 groups (204 rows)'; '176 items (1.253%)' is extras-beyond-one-per-group, not items; true item rate 331/14042 = 2.357%",Numbers wrong; verdict stronger,CONFIRMED
R2-6,2,security_studies BH-sig with len_ratio 0.925 contradicts mechanism,CONFIRMED,"meta_acc=0.3388, len_ratio=0.9254, bh_sig=True - correct options SHORTER yet flagged by a longest-biased narrative",Mechanism column mislabelled,CONFIRMED
R2-7,2,"Anchors file is 38 entries, not 29",CONFIRMED,len(anchors)=38; I ran 29 checks and reported '29/29 anchors passed' - 9 entries never verified,Overstated verification,CONFIRMED
R2-8,2,Prior art uncited and load-bearing,CONFIRMED,"Balepur, Ravichander & Rudinger 2024 arXiv:2402.12483 'Artifacts or Abduction: How Do LLMs Answer MCQs Without the Question?' is my exact method; Gema et al. NAACL 2025 arXiv:2406.04127 MMLU-Redux, 6.49% label-error rate",Must cite by name,CONFIRMED
R2-9,2,"P4 LOSO estimator is a handicapped lower bound, unstated",CONFIRMED (arithmetic not re-run),"Reviewer's within-subject LOO gives 0.2887 vs my 0.2822; direction consistent with 16 subjects / 4,360 items / 31.0% below chance on 'choose longest'",Headline is a lower bound,CONFIRMED
R2-10,2,EVALID_AUDIT_002.json is a second unhashed source of truth,CONFIRMED,It is absent from report section 8 table and from anchors; duplicates audit002_results.json values with no binding,Divergence risk,CONFIRMED
R2-11,2,Fabricated/misattributed citations (Ko 2020; MMLU-Pro as Pham),"CONFIRMED - scope: user's essay, not my report","MMLU-Pro is Wang et al. arXiv:2406.01574 (verified); my shipped report contains no formal citation list, so this attaches to the companion essay",Essay must be fixed,CONFIRMED
R1-1,1,Row-order fix is correct engineering,CONFIRMED - agrees with my own analysis,"sorted(items, key=item_id) plus sorted(set(labels)) closes both the label-order and row-order channels I documented in AUDIT_001_verification_response.md",Residual now closed,CONFIRMED
R1-2,1,Harness lacks a CLI entry point,CONFIRMED,evalid_harness.py runs hardcoded demo() under __main__; no argparse,Release hygiene,CONFIRMED
R1-3,1,No requirements.txt / no import guards,CONFIRMED,"archive contains harness, reproducer, 4 ledgers, no manifest",Release hygiene,CONFIRMED
R1-4,1,403 fallback message needs manual-download instructions,CONFIRMED,reproducer exits 2 with a generic message; I hit exactly this failure twice this session,Release hygiene,CONFIRMED
R1-5,1,'95% ready for public release',REJECTED,Review 1 assessed code hygiene only. Review 2's availability finding invalidates the report the code accompanies. Code readiness is not package readiness,Do not publish,REJECTED
